data,snowmelt,pet,precipitation,surface_sensible_heat_flux,snowfall,temperature,u_component_of_wind,v_component_of_wind,runoff
1984年4月,8.320955947,898.5851387,25.58646207,-80.46349283,5.905539797,3.021683662,2.522384622,1.300763736,
1984年5月,0.206694917,1546.44341,24.71507553,-105.9726835,1.30E-05,12.36129861,1.313407238,0.679762467,
1984年6月,4.98E-07,1476.054572,127.7545113,-86.74934708,0,16.43804706,0.961457362,0.79326927,
1984年7月,1.50E-05,1509.379381,52.70710925,-62.27772254,0,19.47948136,0.806714309,1.155893551,
1984年8月,2.89E-05,1288.19614,87.31143553,-43.85237805,0,17.76863421,1.197448402,2.188092649,
1984年9月,0.068030964,964.9223965,36.53898311,-59.95171829,0.073334335,10.3685427,1.668452534,0.351436366,
1984年10月,6.347213578,566.4995577,24.24695771,-37.64587372,11.67461538,2.125667819,2.375505813,0.305294321,
1984年11月,1.901051247,0,3.681384374,-16.84115184,3.202355807,-5.861042132,2.868062482,0.999242788,
1984年12月,0.027322671,0,3.707407776,-24.21923788,3.64698168,-16.51215126,3.148062558,0.493039928,
1985年1月,0,0,7.003990832,-15.66756827,6.920747251,-20.21877959,2.56985551,-0.243138464,
1985年2月,0.049853754,0,25.20115639,-4.313605686,25.10226264,-18.13392488,0.988025065,0.236922303,
1985年3月,10.46362519,0,16.14843711,45.8220098,13.98037937,-14.64734327,3.167696922,0.707461373,
1985年4月,27.42433357,919.2561158,31.94478647,-51.18783836,19.51935713,1.833903462,1.930944913,0.313647099,
1985年5月,19.7654375,1499.415891,72.47067816,-54.42540863,20.28096967,10.46137456,0.374961646,1.240047887,
1985年6月,8.46E-06,1618.042573,58.30534084,-104.1185752,0,18.22023738,1.223783109,1.110852493,
1985年7月,1.76E-05,1312.014491,83.62571198,-51.3418414,0,18.928464,0.183925273,1.105257014,
1985年8月,2.52E-05,1183.661311,80.46785746,-58.46370932,0,18.28462582,1.284391556,1.284643898,
1985年9月,1.752038171,959.9882429,29.91020824,-86.6979249,9.629381825,10.10739963,2.001254033,-0.061537165,
1985年10月,9.10295148,645.2508565,13.39727338,-15.77295541,5.664809109,3.643968316,2.316084602,0.943724282,
1985年11月,1.038752125,0,46.02094473,30.46749494,45.92413522,-14.49859328,3.067782292,-0.010649157,
1985年12月,0,0,9.265056137,37.80851103,9.156584008,-24.06166509,3.796631838,0.407238631,
1986年1月,0,0,8.948031718,34.10615598,8.848646848,-23.54398361,3.474695039,-0.211459086,
1986年2月,0,0,8.675326219,-0.584381087,8.571825121,-18.39060754,2.629075474,-0.934664783,
1986年3月,19.85930564,0,15.83535147,17.86162542,15.57507535,-9.541391424,2.106844349,0.705663089,
1986年4月,47.28028296,926.4475754,13.63580567,-32.95484557,9.285411115,0.013189761,3.250337811,-0.080244271,
1986年5月,0.331942968,1579.492497,17.06228657,-105.436433,0.321987712,11.92907386,1.025614678,-0.675831796,
1986年6月,6.56E-07,1695.339413,60.42328537,-113.380009,0,19.51092901,0.261697453,0.452499782,
